iter	Passed	Remaining
0	1	127
1	2	121
2	3	115
3	4	106
4	5	105
5	6	104
6	7	104
7	9	105
8	10	104
9	11	103
10	12	102
11	13	101
12	15	100
13	16	99
14	17	98
15	18	97
16	19	97
17	21	95
18	22	94
19	23	92
20	24	91
21	25	90
22	26	88
23	27	87
24	28	85
25	29	84
26	30	83
27	31	82
28	33	80
29	34	79
30	35	78
31	36	77
32	37	76
33	38	74
34	39	73
35	40	72
36	42	71
37	43	70
38	44	69
39	45	68
40	46	67
41	47	65
42	48	64
43	49	63
44	51	62
45	52	61
46	53	60
47	54	59
48	55	57
49	56	56
50	58	55
51	59	54
52	60	53
53	61	52
54	62	50
55	63	49
56	64	48
57	65	47
58	66	46
59	67	45
60	68	43
61	69	42
62	70	41
63	71	40
64	72	39
65	74	38
66	75	37
67	76	35
68	77	34
69	78	33
70	79	32
71	81	31
72	82	30
73	83	29
74	84	28
75	85	27
76	86	25
77	88	24
78	89	23
79	90	22
80	91	21
81	92	20
82	93	19
83	95	18
84	96	17
85	97	15
86	98	14
87	99	13
88	101	12
89	102	11
90	103	10
91	104	9
92	105	7
93	107	6
94	108	5
95	109	4
96	110	3
97	111	2
98	112	1
99	114	0
